--- Experiment started: lower_jaw_registration_v1 ---
Configuration:
batch_size: 1
device: cuda
epochs: 200
experiment_name: lower_jaw_registration_v1
feature_dim: 128
jaw_type: lower
learning_rate: 0.0001
num_points_cbct: 8192
num_points_stl: 4096
num_workers: 4
output_dir: ./experiments
train_data_root: ./data/Task2/Train-Labeled
val_data_root: ./data/Task2/Validation

Using device: cuda
Epoch 1/200 | Train Loss: 0.995842 | Val Loss: 6.977226 | Time: 103.04s
  -> New best model saved with validation loss: 6.977226
Epoch 2/200 | Train Loss: 0.994774 | Val Loss: 6.784620 | Time: 206.31s
  -> New best model saved with validation loss: 6.784620
Epoch 3/200 | Train Loss: 1.001325 | Val Loss: 6.937948 | Time: 300.50s
Epoch 4/200 | Train Loss: 0.985360 | Val Loss: 6.883601 | Time: 392.25s
Epoch 5/200 | Train Loss: 0.989130 | Val Loss: 6.861927 | Time: 484.54s
Epoch 6/200 | Train Loss: 0.998239 | Val Loss: 6.817547 | Time: 577.00s
Epoch 7/200 | Train Loss: 0.985482 | Val Loss: 6.881916 | Time: 672.08s
Epoch 8/200 | Train Loss: 0.978509 | Val Loss: 6.840681 | Time: 768.16s
Epoch 9/200 | Train Loss: 0.986035 | Val Loss: 6.886333 | Time: 860.63s
Epoch 10/200 | Train Loss: 0.979418 | Val Loss: 6.915661 | Time: 951.08s
Epoch 11/200 | Train Loss: 0.981980 | Val Loss: 6.980897 | Time: 1041.72s
Epoch 12/200 | Train Loss: 0.981914 | Val Loss: 6.935097 | Time: 1132.49s
Epoch 13/200 | Train Loss: 0.976962 | Val Loss: 6.778336 | Time: 1227.04s
  -> New best model saved with validation loss: 6.778336
Epoch 14/200 | Train Loss: 0.966811 | Val Loss: 6.788551 | Time: 1320.08s
Epoch 15/200 | Train Loss: 0.980128 | Val Loss: 6.869509 | Time: 1414.72s
Epoch 16/200 | Train Loss: 0.973638 | Val Loss: 6.857534 | Time: 1506.87s
Epoch 17/200 | Train Loss: 0.976091 | Val Loss: 6.860934 | Time: 1600.56s
Epoch 18/200 | Train Loss: 0.974169 | Val Loss: 6.947968 | Time: 1690.81s
Epoch 19/200 | Train Loss: 0.962637 | Val Loss: 6.890405 | Time: 1786.61s
Epoch 20/200 | Train Loss: 0.965704 | Val Loss: 6.850437 | Time: 1881.58s
Epoch 21/200 | Train Loss: 0.978519 | Val Loss: 6.926067 | Time: 1974.50s
Epoch 22/200 | Train Loss: 0.976216 | Val Loss: 6.859392 | Time: 2069.81s
Epoch 23/200 | Train Loss: 0.965071 | Val Loss: 6.826283 | Time: 2162.19s
Epoch 24/200 | Train Loss: 0.974681 | Val Loss: 6.976108 | Time: 2258.97s
Epoch 25/200 | Train Loss: 0.979687 | Val Loss: 6.836023 | Time: 2354.70s
Epoch 26/200 | Train Loss: 0.977572 | Val Loss: 6.942162 | Time: 2452.74s
Epoch 27/200 | Train Loss: 0.967683 | Val Loss: 6.882119 | Time: 2548.67s
Epoch 28/200 | Train Loss: 0.970613 | Val Loss: 6.869541 | Time: 2645.81s
Epoch 29/200 | Train Loss: 0.971272 | Val Loss: 6.898977 | Time: 2743.21s
Epoch 30/200 | Train Loss: 0.977733 | Val Loss: 6.832570 | Time: 2834.75s
Epoch 31/200 | Train Loss: 0.970566 | Val Loss: 6.859008 | Time: 2928.28s
Epoch 32/200 | Train Loss: 0.982781 | Val Loss: 6.987101 | Time: 3017.40s
Epoch 33/200 | Train Loss: 0.972754 | Val Loss: 6.827224 | Time: 3110.05s
Epoch 34/200 | Train Loss: 0.977898 | Val Loss: 6.901136 | Time: 3204.46s
Epoch 35/200 | Train Loss: 0.978355 | Val Loss: 6.913595 | Time: 3299.46s
Epoch 36/200 | Train Loss: 0.971132 | Val Loss: 6.850909 | Time: 3392.00s
Epoch 37/200 | Train Loss: 0.972229 | Val Loss: 6.949898 | Time: 3485.39s
Epoch 38/200 | Train Loss: 0.968212 | Val Loss: 6.972746 | Time: 3582.20s
Epoch 39/200 | Train Loss: 0.959517 | Val Loss: 6.835610 | Time: 3680.28s
Epoch 40/200 | Train Loss: 0.971305 | Val Loss: 6.978002 | Time: 3775.93s
